id,name,role,rating,reviews,location,experience,specialization,skills,availability,charges,chargeNum,phone,email,photo,bio,review1_name,review1_stars,review1_text,review2_name,review2_stars,review2_text
208,Dr. Omana Varghese,Home Ventilator Nurse,4.9,267,Kottayam,13 yrs,Night Care|Post Surgery Care,Ventilator Management|Tracheostomy Care,Emergency,Rs2100,2100,+91 94470 99887,omana.v@cmckottayam.edu,https://randomuser.me/api/portraits/women/29.jpg,Expert home ventilator nurse in Kerala,Thomas K.,5,Reliable and skilled care,,,
209,Dr. Prabhakar Reddy,Nephrologist,4.9,456,Tirupati,22 yrs,Elderly Care|Post Surgery Care,Dialysis Management|Kidney Transplant,Available,Rs2700,2700,+91 87722 33445,prabhakar.reddy@svims.edu,https://randomuser.me/api/portraits/men/39.jpg,Senior nephrologist at SVIMS Tirupati,Venkatesh P.,5,Excellent transplant care,,,
210,Dr. Qudsia Begum,Diabetologist,4.7,178,Aurangabad,12 yrs,Elderly Care|Home Nursing,Insulin Therapy|Diabetic Foot Care,Available,Rs1200,1200,+91 98224 55678,qudsia.begum@aurangabadcare.com,https://randomuser.me/api/portraits/women/30.jpg,Diabetologist specializing in elderly care,Rashid K.,4,Good diabetes management,,,
211,Dr. Rajkumar Thapa,Neurologist,4.9,512,Gangtok,20 yrs,Stroke Recovery|Dementia Care,Epilepsy Management|Movement Disorders,Available,Rs2500,2500,+91 97331 99887,rajkumar.thapa@stnmhospital.in,https://randomuser.me/api/portraits/men/40.jpg,Senior neurologist at STNM Hospital Gangtok,Pema T.,5,Epilepsy now well controlled,,,
212,Dr. Shahnaz Hussain,Dermatologist,4.8,198,Aligarh,14 yrs,Elderly Care|Wound Care,Geriatric Dermatology|Pressure Ulcer Care,Available,Rs1300,1300,+91 98370 44556,shahnaz.hussain@amu.ac.in,https://randomuser.me/api/portraits/women/31.jpg,Dermatologist specializing in elderly skin care,Faisal A.,5,Healed my mother's bedsores,,,
213,Dr. Thangavel Murugan,Physiotherapist,4.7,145,Tirunelveli,10 yrs,Stroke Recovery|Post Surgery Care,Cerebral Palsy Rehab|Aquatic Therapy,Available,Rs750,750,+91 98423 66789,thangavel.m@tvmch.edu,https://randomuser.me/api/portraits/men/41.jpg,Neuro physiotherapist in Tirunelveli,Selvi R.,4,Good improvement in mobility,,,
214,Dr. Usha Rani,ENT Specialist,4.6,123,Vijayawada,11 yrs,Elderly Care,Hearing Aid Fitting|Vertigo Management,Available,Rs1100,1100,+91 98858 33221,usha.rani@vijayawadaent.com,https://randomuser.me/api/portraits/women/32.jpg,ENT specialist for elderly hearing issues,Nageswara R.,4,Better hearing now,,,
215,Dr. Vasant Pawar,Gastroenterologist,4.8,267,Kolhapur,17 yrs,Elderly Care,Therapeutic Endoscopy|Liver Disease,Available,Rs1800,1800,+91 94220 99887,vasant.pawar@kmc.in,https://randomuser.me/api/portraits/men/42.jpg,Gastroenterologist at KMC Kolhapur,Sanjay J.,5,Excellent endoscopy service,,,
216,Dr. Waseem Ahmed,Cardiologist,4.9,389,Aligarh,19 yrs,Elderly Care|Post Surgery Care,Preventive Cardiology|Heart Failure Management,Available,Rs2300,2300,+91 98370 99876,waseem.ahmed@jnmch.edu,https://randomuser.me/api/portraits/men/43.jpg,Senior cardiologist at JNMC Aligarh,Sabiha K.,5,Excellent heart failure care,,,
217,Dr. Xaviera D'Souza,Home Nursing Specialist,4.8,212,Mangalore,12 yrs,Home Nursing|Elderly Care,Post-operative Care|Catheter Care,Available,Rs1100,1100,+91 98451 22334,xaviera.dsouza@kankanadycare.com,https://randomuser.me/api/portraits/women/33.jpg,Experienced home nurse in Mangalore,Ronald P.,5,Very professional and kind,,,
218,Dr. Yashwant Singh,Rheumatologist,4.7,156,Udaipur,13 yrs,Elderly Care,Arthritis Management|Osteoporosis,Available,Rs1500,1500,+91 98290 66789,yashwant.singh@gbhudaipur.com,https://randomuser.me/api/portraits/men/44.jpg,Rheumatologist at GBH Udaipur,Neelam M.,4,Arthritis pain reduced,,,
219,Dr. Zarin Khan,Speech Therapist,4.6,98,Bhopal,7 yrs,Stroke Recovery,Aphasia Therapy|Swallowing Therapy,Available,Rs800,800,+91 90090 33221,zarin.khan@bmc.edu,https://randomuser.me/api/portraits/women/34.jpg,Speech therapist for post-stroke patients,Shahnaz B.,4,Improved speech slowly,,,
220,Dr. Aarav Sharma,Pulmonologist,4.9,345,Dehradun,18 yrs,Elderly Care|Post Surgery Care,Interstitial Lung Disease|Bronchoscopy,Available,Rs1900,1900,+91 98370 99876,aarav.sharma@hims.edu,https://randomuser.me/api/portraits/men/45.jpg,Pulmonologist at HIMS Dehradun,Priyanka N.,5,Excellent ILD management,,,
221,Dr. Bhargavi Joshi,Nutritionist,4.7,134,Nashik,8 yrs,Elderly Care|Wellness Care,Geriatric Nutrition|Diabetic Diet,Available,Rs700,700,+91 98225 44556,bhargavi.joshi@nashikcare.com,https://randomuser.me/api/portraits/women/35.jpg,Geriatric nutritionist in Nashik,Anil K.,4,Good diet plan for diabetes,,,
222,Dr. Chandrakant Bhoir,Wound Care Specialist,4.8,189,Thane,11 yrs,Post Surgery Care|Home Nursing,Diabetic Foot Ulcer|Negative Pressure Therapy,Available,Rs1300,1300,+91 98204 99887,chandrakant.bhoir@thanecare.com,https://randomuser.me/api/portraits/men/46.jpg,Wound care specialist in Thane,Sandhya P.,5,Healed diabetic ulcer in 3 weeks,,,
223,Dr. Damayanti Sahoo,Oncology Nurse,4.9,278,Bhubaneswar,14 yrs,Palliative Care|Post Surgery Care,Cancer Pain Management|Chemo Support,Available,Rs1600,1600,+91 98610 66789,damayanti.sahoo@aiimsbbsr.edu,https://randomuser.me/api/portraits/women/36.jpg,Oncology nurse at AIIMS Bhubaneswar,Bijay K.,5,Compassionate care during chemo,,,
224,Dr. Eknath Pawar,Orthopedic Surgeon,4.8,234,Ahmednagar,16 yrs,Post Surgery Care|Elderly Care,Arthroscopy|Fracture Fixation,Available,Rs2000,2000,+91 98225 99876,eknath.pawar@angarclinic.com,https://randomuser.me/api/portraits/men/47.jpg,Orthopedic surgeon in Ahmednagar,Sujata M.,4,Good fracture treatment,,,
225,Dr. Farzana Sheikh,Cardiac Rehab Nurse,4.7,145,Indore,9 yrs,Post Surgery Care,Cardiac Monitoring|Exercise Prescription,Available,Rs1000,1000,+91 98270 44556,farzana.sheikh@chlahosp.com,https://randomuser.me/api/portraits/women/37.jpg,Cardiac rehab nurse at CHL Indore,Irfan P.,4,Good post-angioplasty care,,,
226,Dr. Ganesh Kamath,Urologist,4.9,389,Mysore,20 yrs,Elderly Care,Prostate Surgery|Laser Treatment,Available,Rs2300,2300,+91 98451 99887,ganesh.kamath@jsshospital.edu,https://randomuser.me/api/portraits/men/48.jpg,Senior urologist at JSS Mysore,Sridhar K.,5,Prostate surgery successful,,,
227,Dr. Harsha Vardhan,Physiotherapist,4.8,178,Visakhapatnam,10 yrs,Stroke Recovery|Post Surgery Care,Neuro Rehabilitation|Balance Training,Available,Rs850,850,+91 98491 33221,harsha.v@visakhapatnamrehab.com,https://randomuser.me/api/portraits/men/49.jpg,Neuro physiotherapist in Vizag,Suresh P.,5,Excellent stroke recovery,,,
228,Dr. Ishita Mukherjee,Psychiatrist,4.8,245,Ranchi,13 yrs,Dementia Care|Elderly Care,Geriatric Psychiatry|Counseling,Available,Rs1600,1600,+91 98351 99876,ishita.mukherjee@rims.edu,https://randomuser.me/api/portraits/women/38.jpg,Geriatric psychiatrist at RIMS Ranchi,Anita S.,5,Helped manage mother's depression,,,
229,Dr. Jagdish Choudhary,ENT Specialist,4.7,134,Jodhpur,12 yrs,Elderly Care,Cochlear Implant|Nasal Surgery,Available,Rs1400,1400,+91 98291 44556,jagdish.choudhary@aiimsjodhpur.edu,https://randomuser.me/api/portraits/men/50.jpg,ENT specialist at AIIMS Jodhpur,Sunita G.,4,Good cochlear implant result,,,
230,Dr. Kamala Bai,Home Nursing Specialist,4.9,289,Belgaum,15 yrs,Home Nursing|Elderly Care,IV Therapy|Wound Dressing|Bedside Care,Available,Rs1000,1000,+91 98453 66789,kamala.bai@belgaumcare.com,https://randomuser.me/api/portraits/women/39.jpg,Experienced home nurse in Belgaum,Shivaji P.,5,Very caring and skilled,,,
231,Dr. Lokesh Sharma,Cardiologist,4.9,456,Jaipur,22 yrs,Elderly Care|Post Surgery Care,Primary Angioplasty|Echo,Available,Rs2700,2700,+91 98292 99876,lokesh.sharma@smsmedical.com,https://randomuser.me/api/portraits/men/51.jpg,Senior cardiologist at SMS Jaipur,Rajendra M.,5,Excellent angioplasty,,,
232,Dr. Meenakshi Sundaram,Nephrologist,4.8,267,Salem,17 yrs,Elderly Care|Post Surgery Care,Hemodialysis|Kidney Biopsy,Available,Rs2000,2000,+91 98422 44556,meenakshi.s@salemkidney.com,https://randomuser.me/api/portraits/women/40.jpg,Nephrologist in Salem,Kumaravel P.,5,Good dialysis management,,,
233,Dr. Nageshwar Rao,Pulmonologist,4.8,234,Warangal,14 yrs,Elderly Care|Post Surgery Care,Asthma Management|Tuberculosis Care,Available,Rs1500,1500,+91 98858 99876,nageshwar.rao@wglcare.com,https://randomuser.me/api/portraits/men/52.jpg,Pulmonologist in Warangal,Ramana K.,4,Asthma now controlled,,,
234,Dr. Oindrila Basu,Palliative Care Nurse,4.9,312,Siliguri,13 yrs,Palliative Care|Night Care,Pain Management|Emotional Support,Available,Rs1500,1500,+91 98320 99887,oindrila.basu@siliguricare.com,https://randomuser.me/api/portraits/women/41.jpg,Palliative nurse in Siliguri,Anjan D.,5,Compassionate end-of-life care,,,
235,Dr. Prithviraj Singh,Geriatrician,4.9,389,Jabalpur,20 yrs,Elderly Care|Dementia Care,Frailty Management|Polypharmacy,Available,Rs2100,2100,+91 98260 44556,prithviraj.singh@netajihospital.com,https://randomuser.me/api/portraits/men/53.jpg,Senior geriatrician in Jabalpur,Neha S.,5,Comprehensive elderly care,,,
236,Dr. Qurratul Ain,Diabetologist,4.7,156,Lucknow,11 yrs,Elderly Care|Home Nursing,Gestational Diabetes|Insulin Therapy,Available,Rs1200,1200,+91 94150 99876,qurratul.ain@sgpgi.ac.in,https://randomuser.me/api/portraits/women/42.jpg,Diabetologist at SGPGI Lucknow,Farah K.,4,Good diabetes control during pregnancy,,,
237,Dr. Ranjit Das,Physiotherapist,4.8,189,Bhubaneswar,10 yrs,Stroke Recovery|Post Surgery Care,Gait Training|Neuroplasticity Exercises,Available,Rs850,850,+91 98610 99876,ranjit.das@aiimsbbsr.edu,https://randomuser.me/api/portraits/men/54.jpg,Neuro physiotherapist at AIIMS Bhubaneswar,Saroj K.,5,Excellent stroke recovery,,,
238,Dr. Saba Naaz,Speech Therapist,4.6,112,Patna,7 yrs,Stroke Recovery,Aphasia Therapy|Voice Rehabilitation,Available,Rs800,800,+91 93041 99876,saba.naaz@igims.org,https://randomuser.me/api/portraits/women/43.jpg,Speech therapist at IGIMS Patna,Ayesha R.,4,Improved speech gradually,,,
239,Dr. Trilok Nath,Rheumatologist,4.8,212,Varanasi,15 yrs,Elderly Care,Psoriatic Arthritis|Gout Management,Available,Rs1700,1700,+91 98370 99876,trilok.nath@bhu.ac.in,https://randomuser.me/api/portraits/men/55.jpg,Rheumatologist at BHU Varanasi,Shashank P.,5,Gout now well managed,,,
240,Dr. Ujjwala Deshpande,Nutritionist,4.7,123,Nagpur,8 yrs,Elderly Care|Wellness Care,Renal Diet|Heart Healthy Diet,Available,Rs700,700,+91 93731 99876,ujjwala.deshpande@orangecity.com,https://randomuser.me/api/portraits/women/44.jpg,Geriatric nutritionist in Nagpur,Ashok M.,4,Good renal diet plan,,,
241,Dr. Venkatesh Iyer,Cardiologist,4.9,478,Coimbatore,23 yrs,Elderly Care|Post Surgery Care,Complex Coronary Interventions,Available,Rs2900,2900,+91 98422 99876,venkatesh.iyer@kmch.edu,https://randomuser.me/api/portraits/men/56.jpg,Senior cardiologist at KMCH Coimbatore,Sundar R.,5,Excellent complex angioplasty,,,
242,Dr. Waheeda Banu,Wound Care Specialist,4.8,167,Hyderabad,10 yrs,Post Surgery Care|Home Nursing,Pressure Ulcer Care|Diabetic Wound Management,Available,Rs1300,1300,+91 99897 99876,waheeda.banu@yashoda.com,https://randomuser.me/api/portraits/women/45.jpg,Wound care specialist at Yashoda Hyderabad,Salman K.,5,Bedsore healed completely,,,
243,Dr. Xavier Peter,Home Ventilator Nurse,4.9,278,Chennai,14 yrs,Night Care|Post Surgery Care,Ventilator Management|Tracheostomy Care,Available,Rs2200,2200,+91 98410 99876,xavier.peter@apolloclinic.com,https://randomuser.me/api/portraits/men/57.jpg,Expert home ventilator nurse in Chennai,John P.,5,Reliable and professional care,,,
244,Dr. Yamini Sharma,Oncology Palliative Nurse,4.8,234,Delhi,12 yrs,Palliative Care|Night Care,Cancer Pain Management|Chemo Support,Available,Rs1700,1700,+91 98119 99876,yamini.sharma@dharamshila.org,https://randomuser.me/api/portraits/women/46.jpg,Oncology palliative nurse in Delhi,Rajesh K.,5,Compassionate support,,,
245,Dr. Zeeshan Ahmed,Orthopedic Surgeon,4.9,456,Aligarh,18 yrs,Post Surgery Care|Elderly Care,Joint Replacement|Arthroscopy,Available,Rs2600,2600,+91 98370 99876,zeeshan.ahmed@jnmch.edu,https://randomuser.me/api/portraits/men/58.jpg,Orthopedic surgeon at JNMC Aligarh,Shahid A.,5,Successful knee replacement,,,
246,Dr. Aishwarya Nair,Physiotherapist,4.7,145,Thiruvananthapuram,8 yrs,Stroke Recovery|Post Surgery Care,Neuro Developmental Therapy,Gait Training,Available,Rs850,850,+91 94470 99876,aishwarya.nair@prsgh.com,https://randomuser.me/api/portraits/women/47.jpg,Neuro physiotherapist in Trivandrum,Suresh K.,4,Good improvement in walking,,,
247,Dr. Balram Jat,Geriatric Psychiatrist,4.8,198,Jaipur,14 yrs,Dementia Care|Elderly Care,Geriatric Depression|Memory Assessment,Available,Rs1800,1800,+91 98292 99876,balram.jat@smsmedical.com,https://randomuser.me/api/portraits/men/59.jpg,Geriatric psychiatrist at SMS Jaipur,Sunita M.,5,Helped manage father's depression,,,
248,Dr. Chandni Kapoor,Diabetes Educator,4.6,112,Chandigarh,6 yrs,Elderly Care|Home Nursing,Insulin Pump Training|CGMS,Available,Rs750,750,+91 98765 99876,chandni.kapoor@pgimer.edu,https://randomuser.me/api/portraits/women/48.jpg,Diabetes educator at PGIMER Chandigarh,Rajiv S.,4,Good CGM guidance,,,
249,Dr. Dhanraj Pillay,ENT Specialist,4.7,134,Pune,12 yrs,Elderly Care,Vertigo Treatment|Hearing Aids,Available,Rs1300,1300,+91 98225 99876,dhanraj.pillay@rubyhall.com,https://randomuser.me/api/portraits/men/60.jpg,ENT specialist for elderly at Ruby Hall,Meera J.,4,Vertigo reduced significantly,,,
250,Dr. Elavarasi Rajendran,Pulmonologist,4.8,267,Madurai,15 yrs,Elderly Care|Post Surgery Care,COPD Management|Sleep Medicine,Available,Rs1600,1600,+91 98421 99876,elavarasi.r@apollomadurai.com,https://randomuser.me/api/portraits/women/49.jpg,Pulmonologist at Apollo Madurai,Karthik S.,5,COPD now well managed,,,
251,Dr. Farooq Abdullah,Nephrologist,4.9,389,Srinagar,21 yrs,Elderly Care|Post Surgery Care,Dialysis Management|Kidney Transplant,Available,Rs2500,2500,+91 99060 99876,farooq.abdullah@skims.ac.in,https://randomuser.me/api/portraits/men/61.jpg,Senior nephrologist at SKIMS Srinagar,Bilal A.,5,Excellent dialysis care,,,
252,Dr. Gayatri Devi,Home Nursing Specialist,4.8,212,Manipal,11 yrs,Home Nursing|Elderly Care,Post-operative Care|Wound Dressing,Available,Rs1100,1100,+91 98451 99876,gayatri.devi@manipal.edu,https://randomuser.me/api/portraits/women/50.jpg,Experienced home nurse in Manipal,Ravi K.,5,Very professional care,,,
253,Dr. Harishankar Mehta,Cardiologist,4.9,456,Raipur,20 yrs,Elderly Care|Post Surgery Care,Primary Angioplasty|Heart Failure,Available,Rs2500,2500,+91 98261 99876,harishankar.mehta@aiimsraipur.edu,https://randomuser.me/api/portraits/men/62.jpg,Senior cardiologist at AIIMS Raipur,Arun S.,5,Excellent heart attack care,,,
254,Dr. Indrani Chakraborty,Speech Therapist,4.7,123,Kolkata,9 yrs,Stroke Recovery,Dysphagia Therapy|Aphasia Rehab,Available,Rs900,900,+91 98310 99876,indrani.chakraborty@amri.com,https://randomuser.me/api/portraits/women/51.jpg,Speech therapist at AMRI Kolkata,Sourav G.,4,Improved swallowing safety,,,
255,Dr. Jitendra Singh,Orthopedic Surgeon,4.9,512,Indore,22 yrs,Post Surgery Care|Elderly Care,Total Hip Replacement|Arthroscopy,Available,Rs3000,3000,+91 98270 99876,jitendra.singh@chlahosp.com,https://randomuser.me/api/portraits/men/63.jpg,Senior orthopedic surgeon at CHL Indore,Pankaj M.,5,Excellent hip replacement,,,
256,Dr. Kavitha Nair,Physiotherapist,4.8,178,Kochi,10 yrs,Stroke Recovery|Post Surgery Care,Hand Rehabilitation|Constraint-Induced Therapy,Available,Rs900,900,+91 98460 99876,kavitha.nair@astermedcity.com,https://randomuser.me/api/portraits/women/52.jpg,Neuro physiotherapist at Aster Medcity,Thomas K.,5,Good hand function recovery,,,
257,Dr. Lalit Mohan,Gastroenterologist,4.8,267,Dehradun,16 yrs,Elderly Care,ERCP|Liver Disease,Available,Rs1900,1900,+91 98370 99876,lalit.mohan@hims.edu,https://randomuser.me/api/portraits/men/64.jpg,Gastroenterologist at HIMS Dehradun,Rajesh P.,5,Excellent ERCP procedure,,,
258,Dr. Madhumita Sen,Palliative Care Nurse,4.9,289,Shillong,13 yrs,Palliative Care|Night Care,Symptom Management|Family Support,Available,Rs1500,1500,+91 98630 99876,madhumita.sen@neigrihms.edu,https://randomuser.me/api/portraits/women/53.jpg,Palliative nurse in Shillong,David L.,5,Compassionate care for my father,,,
259,Dr. Niranjan Patil,Wound Care Specialist,4.8,198,Kolhapur,10 yrs,Post Surgery Care|Home Nursing,Burn Wound Care|Scar Management,Available,Rs1200,1200,+91 94220 99876,niranjan.patil@kmc.in,https://randomuser.me/api/portraits/men/65.jpg,Wound care specialist in Kolhapur,Sanjay J.,5,Burn healed with minimal scarring,,,
260,Dr. Oorvasi Singh,Nutritionist,4.7,134,Allahabad,7 yrs,Elderly Care|Wellness Care,Weight Management|Diabetic Diet,Available,Rs700,700,+91 98370 99876,oorvasi.singh@mlnmedical.edu,https://randomuser.me/api/portraits/women/54.jpg,Geriatric nutritionist in Allahabad,Priyanka S.,4,Good diet plan for diabetes,,,
261,Dr. Pankaj Kumar,Cardiologist,4.9,423,Patna,21 yrs,Elderly Care|Post Surgery Care,Complex Coronary Interventions,Available,Rs2600,2600,+91 93041 99876,pankaj.kumar@igims.org,https://randomuser.me/api/portraits/men/66.jpg,Senior cardiologist at IGIMS Patna,Ravi S.,5,Excellent angioplasty,,,
262,Dr. Quratulain Siddiqui,Home Ventilator Nurse,4.9,267,Hyderabad,12 yrs,Night Care|Post Surgery Care,Non-invasive Ventilation|CPAP/BiPAP,Available,Rs2000,2000,+91 99897 99876,quratulain.siddiqui@carehospitals.com,https://randomuser.me/api/portraits/women/55.jpg,Home ventilator nurse in Hyderabad,Rashid M.,5,Excellent BiPAP support,,,
263,Dr. Raghunath Jha,Neurologist,4.9,478,Darbhanga,19 yrs,Stroke Recovery|Dementia Care,Epilepsy Management|Parkinson's Care,Available,Rs2200,2200,+91 94310 99876,raghunath.jha@dmch.edu,https://randomuser.me/api/portraits/men/67.jpg,Senior neurologist at DMCH Darbhanga,Anil S.,5,Parkinson's well managed,,,
264,Dr. Shabana Khan,Diabetologist,4.7,156,Bhopal,10 yrs,Elderly Care|Home Nursing,Insulin Therapy|Diabetic Foot Care,Available,Rs1100,1100,+91 90090 99876,shabana.khan@bmc.edu,https://randomuser.me/api/portraits/women/56.jpg,Diabetologist at BMC Bhopal,Shahnaz B.,4,Good diabetes management,,,
265,Dr. Tejinder Kaur,Physiotherapist,4.8,189,Ludhiana,11 yrs,Stroke Recovery|Post Surgery Care,Neuro Rehabilitation|Balance Training,Available,Rs850,850,+91 98780 99876,tejinder.kaur@dmch.edu,https://randomuser.me/api/portraits/women/57.jpg,Neuro physiotherapist at DMCH Ludhiana,Gurpreet S.,5,Excellent stroke recovery,,,
266,Dr. Umang Shah,ENT Specialist,4.6,112,Surat,9 yrs,Elderly Care,Hearing Aid Fitting|Nasal Endoscopy,Available,Rs1100,1100,+91 98254 99876,umang.shah@suratent.com,https://randomuser.me/api/portraits/men/68.jpg,ENT specialist in Surat,Rina P.,4,Better hearing with aids,,,
267,Dr. Vimala Krishnan,Pulmonologist,4.8,234,Thrissur,14 yrs,Elderly Care|Post Surgery Care,Asthma Management|COPD Care,Available,Rs1500,1500,+91 98460 99876,vimala.krishnan@amritahospital.com,https://randomuser.me/api/portraits/women/58.jpg,Pulmonologist at Amrita Thrissur,Joseph K.,5,Asthma now controlled,,,
268,Dr. Wasim Akram,Rheumatologist,4.8,198,Aligarh,13 yrs,Elderly Care,Rheumatoid Arthritis|Biologics,Available,Rs1600,1600,+91 98370 99876,wasim.akram@amu.ac.in,https://randomuser.me/api/portraits/men/69.jpg,Rheumatologist at AMU Aligarh,Sabir A.,5,RA well controlled with biologics,,,
269,Dr. Xenia D'Souza,Home Nursing Specialist,4.9,278,Goa,13 yrs,Home Nursing|Elderly Care,IV Therapy|Tracheostomy Care,Available,Rs1300,1300,+91 98230 99876,xenia.dsouza@gmc.goa.in,https://randomuser.me/api/portraits/women/59.jpg,Experienced home nurse in Goa,Anthony F.,5,Very professional and caring,,,
270,Dr. Yashpal Singh,Orthopedic Surgeon,4.9,456,Agra,20 yrs,Post Surgery Care|Elderly Care,Joint Replacement|Fracture Management,Available,Rs2800,2800,+91 98370 99876,yashpal.singh@snmhospital.com,https://randomuser.me/api/portraits/men/70.jpg,Orthopedic surgeon in Agra,Neeraj G.,5,Successful knee replacement,,,
271,Dr. Zeenat Fatima,Nephrologist,4.8,245,Patna,16 yrs,Elderly Care|Post Surgery Care,Dialysis Management|AKI Care,Available,Rs2100,2100,+91 93041 99876,zeenat.fatima@igims.org,https://randomuser.me/api/portraits/women/60.jpg,Nephrologist at IGIMS Patna,Ayesha K.,5,Good dialysis management,,,
272,Dr. Abhishek Banerjee,Cardiologist,4.9,423,Kolkata,22 yrs,Elderly Care|Post Surgery Care,Interventional Cardiology|Echo,Available,Rs2700,2700,+91 98310 99876,abhishek.banerjee@apollokolkata.com,https://randomuser.me/api/portraits/men/71.jpg,Senior cardiologist at Apollo Kolkata,Sudipta G.,5,Excellent angioplasty,,,
273,Dr. Bharati Pawar,Physiotherapist,4.7,145,Nashik,8 yrs,Stroke Recovery|Post Surgery Care,Gait Training|Balance Therapy,Available,Rs800,800,+91 98225 99876,bharati.pawar@nashikcare.com,https://randomuser.me/api/portraits/women/61.jpg,Neuro physiotherapist in Nashik,Sandeep M.,4,Good improvement in walking,,,
274,Dr. Chetan Desai,Palliative Care Physician,4.9,389,Ahmedabad,18 yrs,Palliative Care|Elderly Care,Pain Management|End-of-Life Care,Busy,Rs2400,2400,+91 98790 99876,chetan.desai@shalby.org,https://randomuser.me/api/portraits/men/72.jpg,Senior palliative care physician at Shalby,Meena S.,5,Compassionate care in final days,,,
275,Dr. Deepali Phadke,Speech Therapist,4.6,98,Pune,6 yrs,Stroke Recovery,Dysarthria Therapy|Voice Rehabilitation,Available,Rs800,800,+91 90281 99876,deepali.phadke@rubyhall.com,https://randomuser.me/api/portraits/women/62.jpg,Speech therapist at Ruby Hall Pune,Anita J.,4,Improved voice clarity,,,
276,Dr. Ebrahim Merchant,Wound Care Specialist,4.8,189,Mumbai,11 yrs,Post Surgery Care|Home Nursing,Diabetic Foot Ulcer|Vacuum Therapy,Available,Rs1400,1400,+91 98200 99876,ebrahim.merchant@lilavati.com,https://randomuser.me/api/portraits/men/73.jpg,Wound care specialist at Lilavati Mumbai,Farida K.,5,Diabetic ulcer healed completely,,,
277,Dr. Falguni Mehta,Nutritionist,4.7,123,Vadodara,7 yrs,Elderly Care|Wellness Care,Geriatric Nutrition|Weight Management,Available,Rs700,700,+91 98790 99876,falguni.mehta@barodacare.com,https://randomuser.me/api/portraits/women/63.jpg,Geriatric nutritionist in Vadodara,Ankur S.,4,Good diet plan for weight loss,,,
278,Dr. Gurdip Singh,Home Ventilator Nurse,4.9,267,Amritsar,12 yrs,Night Care|Post Surgery Care,Ventilator Management|Tracheostomy Care,Available,Rs2000,2000,+91 98156 99876,gurdip.singh@amandeep.com,https://randomuser.me/api/portraits/men/74.jpg,Home ventilator nurse in Amritsar,Harpal S.,5,Reliable ventilator care,,,
279,Dr. Hema Latha,Diabetologist,4.7,156,Vijayawada,9 yrs,Elderly Care|Home Nursing,Insulin Therapy|Diabetic Education,Available,Rs1000,1000,+91 98858 99876,hema.latha@vijayawadadiabetes.com,https://randomuser.me/api/portraits/women/64.jpg,Diabetologist in Vijayawada,Srinivas R.,4,Good diabetes education,,,
280,Dr. Irfan Mirza,Neurologist,4.9,456,Srinagar,20 yrs,Stroke Recovery|Dementia Care,Epilepsy Management|Movement Disorders,Available,Rs2500,2500,+91 99060 99876,irfan.mirza@skims.ac.in,https://randomuser.me/api/portraits/men/75.jpg,Senior neurologist at SKIMS Srinagar,Faisal A.,5,Epilepsy now controlled,,,
281,Dr. Jyotsna Bhatt,ENT Specialist,4.6,112,Ahmedabad,10 yrs,Elderly Care,Vertigo Treatment|Nasal Surgery,Available,Rs1200,1200,+91 98790 99876,jyotsna.bhatt@shalby.org,https://randomuser.me/api/portraits/women/65.jpg,ENT specialist at Shalby Ahmedabad,Ramesh P.,4,Vertigo reduced significantly,,,
282,Dr. Karanvir Singh,Orthopedic Physiotherapist,4.8,178,Ludhiana,10 yrs,Post Surgery Care|Elderly Care,Joint Replacement Rehab|Spine Rehab,Available,Rs900,900,+91 98780 99876,karanvir.singh@dmch.edu,https://randomuser.me/api/portraits/men/76.jpg,Orthopedic physiotherapist at DMCH Ludhiana,Simran K.,5,Knee rehab excellent,,,
283,Dr. Lavanya Sridhar,Pulmonologist,4.8,234,Chennai,15 yrs,Elderly Care|Post Surgery Care,Interstitial Lung Disease|Sleep Apnea,Available,Rs1700,1700,+91 98410 99876,lavanya.sridhar@apolloclinic.com,https://randomuser.me/api/portraits/women/66.jpg,Pulmonologist at Apollo Chennai,Sundar R.,5,ILD well managed,,,
284,Dr. Mohd Aslam,Cardiologist,4.9,389,Aligarh,19 yrs,Elderly Care|Post Surgery Care,Preventive Cardiology|Heart Failure,Available,Rs2400,2400,+91 98370 99876,mohd.aslam@jnmch.edu,https://randomuser.me/api/portraits/men/77.jpg,Senior cardiologist at JNMC Aligarh,Sabiha K.,5,Excellent heart failure care,,,
285,Dr. Naina Sharma,Geriatric Nurse,4.8,212,Jaipur,11 yrs,Elderly Care|Dementia Care,Fall Prevention|Medication Management,Available,Rs1100,1100,+91 98292 99876,naina.sharma@ehcc.in,https://randomuser.me/api/portraits/women/67.jpg,Geriatric nurse specialist in Jaipur,Sunita M.,5,Excellent fall prevention,,,
286,Dr. Om Prakash,Rheumatologist,4.7,145,Varanasi,12 yrs,Elderly Care,Arthritis Management|Osteoporosis,Available,Rs1500,1500,+91 98370 99876,om.prakash@bhu.ac.in,https://randomuser.me/api/portraits/men/78.jpg,Rheumatologist at BHU Varanasi,Shyam S.,4,Arthritis pain reduced,,,
287,Dr. Priti Agarwal,Nutritionist,4.6,98,Delhi,5 yrs,Elderly Care|Wellness Care,Diabetic Diet|Heart Healthy Diet,Available,Rs650,650,+91 98119 99876,priti.agarwal@maxhealthcare.com,https://randomuser.me/api/portraits/women/68.jpg,Geriatric nutritionist in Delhi,Meera G.,4,Good diet plan,,,
